monster_name,monster_type,monster_subtype,monster_species,monster_amount,setting_terrain,setting_country_state,date_aired,danger
Ghost of Benedict Arnold,Ghost,Statue,Human,1,Urban,Washington D.C.,1976-12-18,0
Ghost of William Demont,Ghost,Statue,Human,1,Urban,Washington D.C.,1976-12-18,0
Ghost of Major Andre,Ghost,Statue,Human,1,Urban,Washington D.C.,1976-12-18,0
Viking Ghost,Ghost,Viking,Human,1,Forest,United States,1977-09-10,3
Viking Ghost,Ghost,Viking,Human,1,Forest,United States,1977-09-10,3
Viking Ghost,Ghost,Viking,Human,1,Forest,United States,1977-09-10,3
Gramps the Vamp,Undead,Vampire,Human,1,Island,United States,1977-09-17,0
Pterodactyl Ghost,Ghost,Pterodactyl,Dinosaur,1,Mountain,United States,1977-09-24,0
Phantom of Milo Booth,Ghost,Phantom,Human,1,Rural,United States,1977-10-01,5
Lochness Monster,Animal,Lochness Monster,Lochness Monster,1,Rural,Scotland,1977-10-01,
Phantom Racer,Ghost,Phantom,Human,1,Desert,United States,1977-10-08,1
Ghost of Witch McCoy,Ghost,Witch,Human,1,Forest,United States,1977-10-15,3
Zombie,Undead,Zombie,Human,1,Forest,United States,1977-10-15,3
Futuristic Monster,Animal,Humanoid,Insect,1,Ocean,United States,1977-10-22,2
Creepy Heap from the Deep,Animal,Sea-Monster,Sea-Monster,1,Coast,United States,1977-10-29,0
Soulless Captain Clements,Undead,Possessed,Human,1,Coast,United States,1977-10-29,0
Abominable Snowman,Animal,Yeti,Snow-Monster,1,Mountain,Nepal,1977-11-05,
Abominable Snowwoman,Animal,Yeti,Snow-Monster,1,Mountain,Nepal,1977-11-05,
Leprechaun,Mythical,Magician,Leprechaun,1,Rural,Ireland,1977-11-26,
Prehistoric Dinosaur,Animal,Dinosaur,Dinosaur,1,Island,Hawaii,1977-12-03,
Willawa,Animal,Owl,Owl,1,Forest,Indian Reserve,1978-09-09,0
Owl Men,Animal,Humanoid,Owl,1,Forest,Indian Reserve,1978-09-09,0
Owl Men,Animal,Humanoid,Owl,1,Forest,Indian Reserve,1978-09-09,0
Ghost of Blue Beard,Ghost,Pirate,Human,1,Island,Caribbean,1978-09-09,
Skeleton Men,Undead,Skeleton,Human,1,Island,Bermuda Triangle,1978-09-16,3
Skeleton Men,Undead,Skeleton,Human,1,Island,Bermuda Triangle,1978-09-16,3
Skeleton Men,Undead,Skeleton,Human,1,Island,Bermuda Triangle,1978-09-16,3
Snow Beast,Animal,Beast,Snow-Monster,1,Snow,Canada,1978-09-23,0
Annabelle,Mythical,Amazonian,Amazonian,1,Jungle,Brazil,1978-09-23,
Frankenstein's Monster,Undead,Frankenstein's Monster,Human,1,Rural,Romania,1978-09-23,
Vampires,Undead,Vampire,Human,1,Rural,Romania,1978-09-23,
Living Trees,Plant,Tree,Tree,1,Rural,Romania,1978-09-23,
Monster of the Black Lagoon,Animal,Serpent,Swamp Monster,1,Rural,Romania,1978-09-23,
Ghost Witch of Old Salem,Ghost,Witch,Human,1,Rural,Massachusetts,1978-09-30,0
Tar Monster,Possessed Object,Tar,Creature,1,Cave,Turkey,1978-10-07,0
Giant Squid,Animal,GIant,Squid,1,Ocean,Atlantis,1978-10-07,
Ghost of Finnyan McDuff,Ghost,Phantom,Human,1,Rural,Scotland,1978-10-14,2
Loch Ness Monster,Mythical,Loch Ness Monster,Dinosaur,1,Rural,Scotland,1978-10-14,2
Old Iron Face,Disguised,Pirate,Human,1,Island,United States,1978-10-21,0
Jaguaro,Animal,Beast,Jungle-Monster,1,Jungle,Brazil,1978-10-28,2
Cat Creature,Animal,Humanoid,Cat,1,Urban,New York,1978-11-04,1
Mantis,Animal,Humanoid,Mantis,1,Rural,United States,1978-11-11,1
Phantom,Ghost,Musician,Human,1,Urban,United States,1978-11-18,0
Moon Monster,Ghost,Demon,Beast,1,Urban,China,1978-11-25,0
Ghostly Gondolier,Ghost,Phantom,Human,1,Urban,Italy,1978-12-02,1
Ghost of Juan Carlos,Ghost,Phantom,Human,1,Island,Puerto Rico,1978-12-09,3
Anthos,Ancient,Warlock,Human,1,Forest,England,1978-12-16,0
Devil Hound,Animal,Demon,Hound,1,Forest,England,1978-12-16,0
Beast of Bottomless Lake,Animal,Humanoid,Sea-Monster,1,Forest,Canada,1978-12-23,0
Blue Scarab,Disguised,Super-Villain,Human,1,Urban,United States,1979-09-22,0
Night Ghoul,Undead,Ghoul,Human,1,Urban,United States,1979-09-29,0
Alien,Extraterrestrial,Alien,Alien,1,Forest,United States,1979-10-06,0
Neon Phantom,Ghost,Phantom,Human,1,Urban,California,1979-10-13,0
Snake Demon,Animal,Demon,Snake,1,Coast,Florida,1979-10-20,0
Clown,Disguised,Clown,Human,1,Coast,Florida,1979-10-20,0
Sky Skeleton,Undead,Skeleton,Human,1,Rural,United States,1979-10-27,0
Dragon Beast,Mythical,Humanoid,Dragon,1,Urban,Japan,1979-11-03,0
Devil Bear,Animal,Demon,Bear,1,Desert,Arizona,1979-11-10,0
Sea Beast of the Aztecs,Animal,Humanoid,Sea-Monster,1,Coast,Mexico,1979-11-17,0
Lady Vampire of the Bat,Undead,Vampire,Human,1,Urban,California,1979-11-24,0
Star Creature,Extraterrestrial,Humanoid,Star,1,Rural,United States,1979-12-01,0
Shadow Creature,Animal,Humanoid,Creature,1,Urban,United States,1979-12-08,0
Ghost of Jeremiah Pratt,Ghost,Phantom,Human,1,Snow,United States,1979-12-15,0
Ghost of the Great Haldane,Ghost,Magician,Human,1,Urban,New Jersey,1979-12-22,0
Minotaur,Mythical,Minotaur,Minotaur,1,Rural,Greece,1979-12-29,0
Aliens,Extraterrestrial,Alien,Alien,1,Space,Space,1980-11-08,
Aliens,Extraterrestrial,Alien,Alien,1,Space,Space,1980-11-08,
Sylvester,Undead,Vampire,Human,1,Rural,United States,1980-11-08,
Chinese Food Factory Burglar,Disguised,Masked,Human,1,Urban,California,1980-11-08,
Arabian Magician,Magician,Magician,Human,1,Desert,Saudi Arabia,1980-11-15,
Cat Man,Animal,Humanoid,Cat,1,Mountain,South America,1980-11-15,
Mummy,Undead,Mummy,Human,1,Desert,Egypt,1980-11-22,
Caveman,Ancient,Caveman,Human,1,Island,United States,1980-11-29,
Pirate,Ancient,Pirate,Human,1,Ocean,United States,1980-11-29,
Swamp Witch,Magician,Witch,Human,1,Swamp,United States,1980-12-13,
Knight,Ancient,Knight,Human,1,Rural,Scotland,1980-12-13,
Wax Master,Possessed Object,Statue,Human,1,Urban,England,1980-12-20,
Evil Trees,Plant,Evil,Tree,1,Rural,United States,1980-12-20,
Caterpillar,Animal,Talking,Caterpillar,1,Rural,United States,1980-12-20,
Cheshire Cat,Animal,Talking,Cat,1,Rural,United States,1980-12-20,
Queen of Hearts,Magician,Queen,Human,1,Rural,United States,1980-12-20,
Lava Monster,Possessed Object,Statue,Lava,1,Jungle,Hawaii,1980-12-27,
Alaskan Monster,Animal,Beast,Snow-Monster,1,Snow,Alaska,1980-12-27,
Rocky Maximus,Ancient,Gladiator,Human,1,Urban,Italy,1981-01-03,
Swamp Monster,Animal,Beast,Swamp-Monster,1,Swamp,United States,1981-01-03,
Shaggy,Animal,Werewolf,Human,1,Rural,Austria,1981-01-10,
Rock Monsters,Possessed Object,Rock,Cave-Monster,1,Cave,United States,1981-01-17,
Rock Monsters,Possessed Object,Rock,Cave-Monster,1,Cave,United States,1981-01-17,
Wicked Witch of the North by Southeast,Magician,Witch,Human,1,Rural,United States,1981-01-17,
Phantom of the Sewers,Disguised,Phantom,Human,1,Urban,France,1981-01-24,
Rawhide Red,Mechanical,Robot,Object,1,Rural,United States,1981-01-24,
Enemy Spy,Disguised,Spy,Human,1,Urban,California,1981-01-24,
Alien,Extraterrestrial,Alien,Alien,1,Urban,United States,1981-01-31,
Pleasure Island Man,Magician,Trickster,Human,1,Urban,United States,1981-09-19,
Pirate,Ghost,Pirate,Human,1,Island,United States,1981-09-19,
Sheet Ghost,Ghost,Phantom,Human,1,Forest,United States,1981-09-19,
Centaur,Animal,Centaur,Centaur,1,Ocean,Atlantis,1981-09-26,
Merlin,Magician,Wizard,Human,1,Rural,England,1981-09-26,
Jasper,Animal,Giant,Frog,1,Rural,England,1981-09-26,
Alien,Extraterrestrial,Alien,Alien,1,Space,Space,1981-09-26,
Dragon,Mythical,Dragon,Dragon,1,Cave,China,1981-10-03,
Pat O'Wiley,Mythical,Leprechaun,Leprechaun,1,Forest,Ireland,1981-10-03,
Madame Olga,Magician,Witch,Human,1,Urban,United States,1981-10-10,
Red Baron,Ancient,Pilot,Human,1,Urban,United States,1981-10-10,
T-Rex,Animal,Dinosaur,Dinosaur,1,Urban,United States,1981-10-10,
Toy Gorilla,Mechanical,Toy,Gorilla,1,Urban,England,1981-10-17,
Plutonian,Extraterrestrial,Alien,Hound,1,Urban,United States,1981-10-17,
Dr. Wolf,Animal,Werewolf,Human,1,Urban,United States,1981-10-17,
Vampire Foreman,Undead,Vampire,Human,1,Urban,United States,1981-10-24,
Carnivorous Plants,Plant,Giant,Venus Fly Trap,1,Urban,United States,1981-10-24,
Bigfoot,Animal,Humanoid,Bigfoot,1,Forest,United States,1981-10-31,
Giant,Mythical,Giant,Human,1,Rural,United States,1981-10-31,
Catfish Burglar,Disguised,Masked,Human,1,Ocean,United States,1982-10-02,
Gargoyle,Possessed Object,Statue,Gargoyle,1,Urban,California,1982-10-02,
Medusa,Mythical,Gorgon,Human,1,Urban,California,1982-10-02,
Sea Creature,Animal,Humanoid,Sea-Monster,1,Urban,California,1982-10-02,
Octopus Monster,Animal,Giant,Octopus,1,Urban,California,1982-10-02,
Bigfoot,Animal,Humanoid,Bigfoot,1,Urban,California,1982-10-02,
Slime Boy,Disguised,Slime,Human,1,Urban,United States,1982-11-06,
Jasmine,Mythical,Phantom,Genie,1,Urban,United States,1982-11-20,
Alien Scavenger Hunter,Extraterrestrial,Teen,Alien,1,Urban,United States,1982-11-27,
Alien Scavenger Hunter,Extraterrestrial,Teen,Alien,1,Urban,United States,1982-11-27,
Alien Scavenger Hunter,Extraterrestrial,Teen,Alien,1,Urban,United States,1982-11-27,
Dognapper,Disguised,,Human,1,Urban,United States,1982-11-27,
Cat Lady,Animal,Cat,Human,1,Urban,United States,1982-12-04,
Wonga,Ancient,Caveman,Human,1,Forest,Pre-Historic,1982-12-11,
Scooby-Doo,Animal,Werewolf,Hound,1,Urban,United States,1982-12-11,
Abominable Snowman,Animal,Humanoid,Snow-Monster,1,Snow,United States,1982-12-19,
Olaf the Terrible,Ancient,Viking,Human,1,Coast,Norway,1983-09-10,
Great White Shark,Animal,Shark,Shark,1,Island,South America,1983-09-10,
Seaweed Monster,Plant,Seaweed,Sea-Monster,1,Island,South America,1983-09-10,
Face in the Fireplace,Ghost,Phantom,Human,1,Rural,United States,1983-09-10,
Ghosts Under the Bed,Ghost,Phantom,Human,1,Rural,United States,1983-09-10,
Living Animal Heads,Undead,Head,Beast,1,Rural,United States,1983-09-10,
Skeleton,Undead,Skeleton,Human,1,Rural,United States,1983-09-10,
Living Statue,Possessed Object,Statue,Human,1,Rural,United States,1983-09-10,
Organ Playing Ghost,Ghost,Phantom,Human,1,Rural,United States,1983-09-10,
Mud Monster,Possessed Object,Humanoid,Mud,1,Desert,United States,1983-09-10,
Hound of the Barkervilles,Animal,Werewolf,Hound,1,Rural,Scotland,1983-09-17,
Dinosaur,Animal,Dinosaur,Dinosaur,1,Jungle,Mexico,1983-09-17,
Creature from Chem Lab,Possessed Object,Humanoid,Chem,1,Urban,United States,1983-09-17,
Masked Manx,Animal,Humanoid,Gorilla,1,Forest,United States,1983-09-17,
Randar the Ape Man,Animal,Humanoid,Ape,1,Jungle,Africa,1983-09-24,
Mobotsu,Animal,Giant,Ape,1,Jungle,Africa,1983-09-24,
Maid Zombie,Undead,Possessed,Human,1,Island,South America,1983-09-24,
Barney Zombie,Undead,Possessed,Human,1,Island,South America,1983-09-24,
Tourist Zombie,Undead,Possessed,Human,1,Island,South America,1983-09-24,
Amy Zombie,Undead,Possessed,Human,1,Island,South America,1983-09-24,
Neanderthal Monster of Devil's Rock,Animal,Humanoid,Beast,1,Rural,Australia,1983-10-01,
Tower Wizard,Magician,Wizard,Human,1,Rural,United States,1983-10-08,
Yadzruck,Animal,Humanoid,Yadzruck,1,Rural,United States,1983-10-08,
Phantom of the Soaps,Ghost,Phantom,Human,1,Urban,United States,1983-10-08,
Clown,Disguised,Clown,Human,1,Rural,United States,1983-10-15,
Minotaur,Mythical,Minotaur,Minotaur,1,Rural,Greece,1983-10-29,
Ghost of Casey O'Reilly,Ghost,Phantom,Human,1,Urban,United States,1983-10-29,
Gremlin,Mythical,Gremlin,Gremlin,1,Rural,California,1983-11-05,
Specter of the Sports Cars,Ghost,Phantom,Human,1,Urban,United States,1983-11-05,
Frankenstein's Monster,Undead,Frankenstein's Monster,Human,1,Forest,Romania,1983-11-26,
Dracula,Undead,Vampire,Human,1,Forest,Romania,1983-11-26,
Dracula's Wife,Undead,Vampire,Human,1,Forest,Romania,1983-11-26,
Dracula Jr.,Animal,Werewolf,Human,1,Forest,Romania,1983-11-26,
Ghost of Chef Maras,Ghost,Chef,Human,1,Urban,France,1983-11-26,
Mummy,Undead,Mummy,Human,1,Rural,Austria,1983-12-03,
Ghost of McBaggy Rodgers,Ghost,Phantom,Human,1,Rural,Massachusetts,1983-12-10,
Red Skull,Disguised,Skull,Human,1,Urban,United States,1984-09-08,0
Maid Mummy,Undead,Mummy,Human,1,Urban,United States,1984-09-15,
Helping Hands,Possessed Object,Gloves,Object,1,Forest,United States,1984-09-15,
Sea Demon,Animal,Humanoid,Sea-Monster,1,Coast,Denmark,1984-09-22,
Sea Demon,Animal,Humanoid,Sea-Monster,1,Coast,Denmark,1984-09-22,
Cyclops,Mythical,Cyclops,Human,1,Island,Greece,1984-09-22,
Master Mind,Super-Villain,Genius,Human,1,Urban,New York,1984-09-29,
Giant Bees,Animal,Giant,Bee,1,Rural,United States,1984-09-29,
Ghost of Ebenezer Overview,Ghost,Phantom,Human,1,Snow,United States,1984-10-06,
Zombies,Undead,Zombie,Human,1,Island,South America,1984-10-13,5
Zombies,Undead,Zombie,Human,1,Island,South America,1984-10-13,5
Zombies,Undead,Zombie,Human,1,Island,South America,1984-10-13,5
Zombies,Undead,Zombie,Human,1,Island,South America,1984-10-13,5
Evil Elf,Mythical,Elf,Elf,1,Forest,United States,1984-10-20,
Mad Sea Lion,Animal,Sea Lion,Sea Lion,1,Snow,Antarctica,1984-10-20,
Ghost of Dr. Van Helsing,Ghost,Phantom,Human,1,Desert,United States,1984-10-27,3
Ghost of Abraham Lincoln,Ghost,President,Human,1,Urban,Washington D.C.,1984-11-03,
Ghost of George Washington,Ghost,President,Human,1,Urban,Washington D.C.,1984-11-03,
Ghost of Ulysses S. Grant,Ghost,President,Human,1,Urban,Washington D.C.,1984-11-03,
Ghost of Theodore Roosevelt,Ghost,President,Human,1,Urban,Washington D.C.,1984-11-03,
Ghost of Colonel Beauregard,Ghost,Phantom,Human,1,Swamp,United States,1984-11-10,
Ghost of Sherlock Holmes,Ghost,Detective,Human,1,Urban,England,1984-11-17,
Monster Mutt,Animal,Super-Villain,Hound,1,Urban,California,1984-11-24,
Monster Mouse,Animal,Giant,Mouse,1,Rural,United States,1984-11-24,
Ghost of Christmas Never,Ghost,Phantom,Human,1,Snow,United States,1984-12-01,
Bogle,Ghost,Phantom,Cartoon,1,Snow,Tibet,1985-09-07,
Weerd,Ghost,Phantom,Cartoon,1,Snow,Tibet,1985-09-07,
Ghoulio,Undead,Vampire,Human,1,Snow,Tibet,1985-09-07,
Werewolfs,Animal,Werewolf,Human,1,Snow,Tibet,1985-09-07,
Werewolf Daphnie,Animal,Werewolf,Human,1,Snow,Tibet,1985-09-07,
Maldore the Malevolent,Mythical,Demon,Demon,1,Forest,United States,1985-09-14,
Evil Tree,Plant,Evil,Tree,1,Forest,United States,1985-09-14,
Evil Tree,Plant,Evil,Tree,1,Forest,United States,1985-09-14,
Dragon,Mythical,Dragon,Dragon,1,Forest,United States,1985-09-14,
Rat Gaurds,Animal,Giant,Rat,1,Forest,United States,1985-09-14,
Rat Gaurds,Animal,Giant,Rat,1,Forest,United States,1985-09-14,
Shadow Demon,Mythical,Shadow,Demon,1,Rural,United States,1985-09-21,
